충전소명,충전기 ID,충전기 형태,충전기 용량(kW),
삼덕동행정복지센터,01,승용차 AC완속,7,
대구시청(지하),01,DC차데모+AC3상+DC콤보,50,
지저동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
효목2동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
공산동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
신암1동 행정복지센터,01,DC차데모+AC3상+DC콤보,100,
내당4동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
상리공원주차장,01,DC차데모+AC3상+DC콤보,100,
태전2동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
산격1동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
칠성동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
신매공원노상주자창,01,DC차데모+AC3상+DC콤보,50,
신매공원노상주자창,02,승용차 AC완속,7,
범어1동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
지산2동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
범물1동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
신당동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
두류3동행정복지센터,01,DC차데모+AC3상+DC콤보,100,
수성아트피아,01,DC차데모+AC3상+DC콤보,100,
동림플라자,01,DC차데모+AC3상+DC콤보,100,
아양아트센터,02,DC차데모+AC3상+DC콤보,100,
아양아트센터,01,DC차데모+AC3상+DC콤보,100,
신암공원,01,DC차데모+AC3상+DC콤보,100,
대덕승마장,01,DC차데모+AC3상+DC콤보,50,
대구사격장,01,DC차데모+AC3상+DC콤보,50,
서대구산업단지 근로자복지회관,01,DC차데모+AC3상+DC콤보,50,
대구지식서비스센터,01,승용차 AC완속,7,
대구지식서비스센터,02,승용차 AC완속,7,
상공회의소,01,DC차데모+AC3상+DC콤보,50,
달성문화센터,01,DC차데모+AC3상+DC콤보,50,
중구청,01,DC차데모+AC3상+DC콤보,50,
대신동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
남산3동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
파계사 공영주차장,01,DC차데모+AC3상+DC콤보,50,
파계사 공영주차장,02,승용차 AC완속,7,
도평동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
안심3.4동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
안심1동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
해안동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
동촌동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
방촌동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
효목1동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
동촌유원지 입구 주차장,01,DC차데모+AC3상+DC콤보,50,
신암2동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
대구은행(신암동지점),01,DC차데모+AC3상+DC콤보,50,
대명3동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
대명2동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
남구청,01,DC차데모+AC3상+DC콤보,50,
남구청,02,승용차 AC완속,7,
봉덕3동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
대명5동 행정복지센터,01,DC차데모+AC3상+DC콤보,50,
